id,easting,northing,elevation,site,year,percAlong,distAlong
132,317903.4515,4097806.978,2163.46144,AHA,2021,0.037130802,34.65046545
133,317903.4515,4097806.978,2163.46144,AHA,2021,0.037412096,34.91296897
134,317903.6204,4097807.214,2163.476321,AHA,2021,0.03769339,35.1754725
135,317903.9008,4097807.486,2163.467054,AHA,2021,0.037974684,35.43797602
136,317903.9008,4097807.486,2163.467054,AHA,2021,0.038255977,35.70047955
137,317904.2089,4097807.729,2163.501746,AHA,2021,0.038537271,35.96298308
138,317904.4475,4097807.908,2163.521378,AHA,2021,0.038818565,36.2254866
139,317904.4475,4097807.908,2163.521378,AHA,2021,0.039099859,36.48799013
140,317904.7871,4097808.142,2163.551194,AHA,2021,0.039381153,36.75049366
141,317904.7871,4097808.142,2163.551194,AHA,2021,0.039662447,37.01299718
142,317904.9803,4097808.519,2163.666762,AHA,2021,0.039943741,37.27550071
143,317905.0447,4097809.1,2163.760307,AHA,2021,0.040225035,37.53800423
144,317905.0447,4097809.1,2163.760307,AHA,2021,0.040506329,37.80050776
145,317904.9238,4097809.569,2163.744074,AHA,2021,0.040787623,38.06301129
146,317904.8135,4097810.057,2163.803467,AHA,2021,0.041068917,38.32551481
147,317904.8135,4097810.057,2163.803467,AHA,2021,0.041350211,38.58801834
148,317904.9015,4097810.541,2163.916845,AHA,2021,0.041631505,38.85052186
149,317904.9015,4097810.541,2163.916845,AHA,2021,0.041912799,39.11302539
150,317905.0324,4097810.868,2164.009122,AHA,2021,0.042194093,39.37552892
151,317905.2824,4097811.118,2164.046927,AHA,2021,0.042475387,39.63803244
152,317905.5324,4097811.368,2164.001056,AHA,2021,0.042756681,39.90053597
153,317905.5324,4097811.368,2164.001056,AHA,2021,0.043037975,40.16303949
154,317905.8048,4097811.603,2163.854425,AHA,2021,0.043319269,40.42554302
155,317905.8048,4097811.603,2163.854425,AHA,2021,0.043600563,40.68804655
156,317906.015,4097811.781,2163.795331,AHA,2021,0.043881857,40.95055007
157,317906.3883,4097811.977,2163.748801,AHA,2021,0.04416315,41.2130536
158,317906.7398,4097812.161,2163.725068,AHA,2021,0.044444444,41.47555713
159,317906.7398,4097812.161,2163.725068,AHA,2021,0.044725738,41.73806065
160,317906.9325,4097812.504,2163.669925,AHA,2021,0.045007032,42.00056418
161,317906.9325,4097812.504,2163.669925,AHA,2021,0.045288326,42.2630677
162,317907.0943,4097812.765,2163.649463,AHA,2021,0.04556962,42.52557123
